ObjectNumber	ObjectIDinMovie	LocationID	MovieID	Lure
Object271	Gray9Object010	22	Gray9	0
Object215	Gray8Object001	12	Gray8	0
Object195	Gray8Object002	11	Gray8	0
Object185	Gray8Object003	14	Gray8	0
Object150	Gray8Object004	17	Gray8	0
Object164	Gray8Object005	16	Gray8	0
Object270	Gray8Object006	25	Gray8	0
Object290	Gray8Object007	22	Gray8	0
Object250	Gray8Object008	26	Gray8	0
Object220	Gray8Object009	27	Gray8	0
Object260	Gray8Object010	23	Gray8	0
Object214	Gray7Object001	11	Gray7	0
Object180	Gray7Object002	12	Gray7	0
Object163	Gray7Object003	14	Gray7	0
Object146	Gray7Object004	18	Gray7	0
Object190	Gray7Object005	15	Gray7	0
Object255	Gray7Object006	22	Gray7	0
Object245	Gray7Object008	27	Gray7	0
Object266	Gray7Object009	28	Gray7	0
Object235	Gray7Object010	23	Gray7	0
Object061	Gray7Object007	26	Gray7	0
Object021	Gray6Object001	17	Gray6	0
Object028	Gray6Object002	24	Gray6	0
Object049	Gray6Object003	18	Gray6	0
Object052	Gray6Object004	12	Gray6	0
Object068	Gray6Object005	13	Gray6	0
Object103	Gray6Object006	11	Gray6	0
Object113	Gray6Object007	22	Gray6	0
Object124	Gray6Object008	27	Gray6	0
Object133	Gray6Object009	25	Gray6	0
Object144	Gray6Object010	28	Gray6	0
Object007	Gray5Object001	18	Gray5	0
Object020	Gray5Object002	12	Gray5	0
Object037	Gray5Object003	13	Gray5	0
Object067	Gray5Object004	15	Gray5	0
Object100	Gray5Object005	11	Gray5	0
Object120	Gray5Object006	26	Gray5	0
Object140	Gray5Object007	23	Gray5	0
Object160	Gray5Object008	25	Gray5	0
Object169	Gray5Object009	27	Gray5	0
Object178	Gray5Object010	24	Gray5	0
Object004	Gray4Object001	12	Gray4	0
Object027	Gray4Object002	16	Gray4	0
Object098	Gray4Object003	13	Gray4	0
Object108	Gray4Object004	15	Gray4	0
Object118	Gray4Object005	11	Gray4	0
Object128	Gray4Object006	25	Gray4	0
Object138	Gray4Object007	23	Gray4	0
Object148	Gray4Object008	27	Gray4	0
Object158	Gray4Object009	28	Gray4	0
Object168	Gray4Object010	24	Gray4	0
Object090	Gray3Object001	13	Gray3	0
Object069	Gray3Object002	11	Gray3	0
Object089	Gray3Object003	12	Gray3	0
Object048	Gray3Object004	14	Gray3	0
Object088	Gray3Object005	16	Gray3	0
Object095	Gray3Object006	25	Gray3	0
Object096	Gray3Object007	26	Gray3	0
Object092	Gray3Object008	27	Gray3	0
Object094	Gray3Object009	28	Gray3	0
Object093	Gray3Object010	24	Gray3	0
Object063	Gray2Object001	13	Gray2	0
Object044	Gray2Object002	11	Gray2	0
Object064	Gray2Object003	14	Gray2	0
Object071	Gray2Object004	18	Gray2	0
Object072	Gray2Object005	25	Gray2	0
Object075	Gray2Object006	26	Gray2	0
Object076	Gray2Object007	28	Gray2	0
Object073	Gray2Object008	24	Gray2	0
Object074	Gray2Object009	22	Gray2	0
Object091	Gray2Object010	15	Gray2	0
Object272	Gray12Object001	14	Gray12	0
Object222	Gray12Object002	11	Gray12	0
Object258	Gray12Object003	13	Gray12	0
Object243	Gray12Object004	18	Gray12	0
Object251	Gray12Object005	17	Gray12	0
Object282	Gray12Object006	21	Gray12	0
Object288	Gray12Object007	26	Gray12	0
Object278	Gray12Object008	28	Gray12	0
Object285	Gray12Object009	23	Gray12	0
Object298	Gray12Object010	24	Gray12	0
Object228	Gray11Object001	11	Gray11	0
Object188	Gray11Object002	13	Gray11	0
Object218	Gray11Object003	14	Gray11	0
Object202	Gray11Object004	16	Gray11	0
Object236	Gray11Object005	15	Gray11	0
Object267	Gray11Object006	25	Gray11	0
Object295	Gray11Object007	26	Gray11	0
Object301	Gray11Object008	24	Gray11	0
Object273	Gray11Object009	23	Gray11	0
Object291	Gray11Object010	22	Gray11	0
Object212	Gray10Object001	12	Gray10	0
Object238	Gray10Object002	14	Gray10	0
Object198	Gray10Object003	13	Gray10	0
Object183	Gray10Object004	18	Gray10	0
Object208	Gray10Object005	21	Gray10	0
Object176	Gray10Object006	25	Gray10	0
Object293	Gray10Object007	26	Gray10	0
Object263	Gray10Object008	28	Gray10	0
Object304	Gray10Object009	22	Gray10	0
Object232	Gray10Object010	15	Gray10	0
Object023	Gray1Object001	12	Gray1	0
Object024	Gray1Object002	18	Gray1	0
Object033	Gray1Object003	16	Gray1	0
Object032	Gray1Object004	17	Gray1	0
Object039	Gray1Object005	21	Gray1	0
Object038	Gray1Object006	22	Gray1	0
Object022	Gray1Object007	27	Gray1	0
Object040	Gray1Object008	24	Gray1	0
Object034	Gray1Object009	23	Gray1	0
Object026	Gray1Object010	11	Gray1	0
Object200	Brown9Object001	11	Brown9	0
Object186	Brown9Object002	16	Brown9	0
Object246	Brown9Object003	18	Brown9	0
Object151	Brown9Object004	14	Brown9	0
Object221	Brown9Object005	12	Brown9	0
Object191	Brown9Object006	22	Brown9	0
Object230	Brown9Object007	27	Brown9	0
Object261	Brown9Object008	28	Brown9	0
Object302	Brown9Object009	24	Brown9	0
Object276	Brown9Object010	23	Brown9	0
Object136	Brown8Object001	15	Brown8	0
Object031	Brown8Object002	12	Brown8	0
Object116	Brown8Object003	14	Brown8	0
Object240	Brown8Object004	18	Brown8	0
Object211	Brown8Object005	11	Brown8	0
Object300	Brown8Object006	22	Brown8	0
Object275	Brown8Object007	25	Brown8	0
Object286	Brown8Object008	28	Brown8	0
Object256	Brown8Object009	27	Brown8	0
Object296	Brown8Object010	23	Brown8	0
Object057	Brown7Object001	15	Brown7	0
Object153	Brown7Object002	11	Brown7	0
Object135	Brown7Object003	14	Brown7	0
Object115	Brown7Object004	12	Brown7	0
Object171	Brown7Object005	16	Brown7	0
Object197	Brown7Object006	22	Brown7	0
Object210	Brown7Object007	25	Brown7	0
Object166	Brown7Object008	26	Brown7	0
Object182	Brown7Object009	27	Brown7	0
Object204	Brown7Object010	24	Brown7	0
Object017	Brown6Object001	16	Brown6	0
Object025	Brown6Object002	12	Brown6	0
Object053	Brown6Object003	22	Brown6	0
Object065	Brown6Object004	27	Brown6	0
Object101	Brown6Object005	24	Brown6	0
Object111	Brown6Object006	28	Brown6	0
Object121	Brown6Object007	26	Brown6	0
Object130	Brown6Object008	17	Brown6	0
Object131	Brown6Object009	13	Brown6	0
Object141	Brown6Object010	11	Brown6	0
Object003	Brown5Object001	15	Brown5	0
Object036	Brown5Object002	13	Brown5	0
Object046	Brown5Object003	12	Brown5	0
Object099	Brown5Object004	11	Brown5	0
Object109	Brown5Object005	17	Brown5	0
Object119	Brown5Object006	26	Brown5	0
Object129	Brown5Object007	23	Brown5	0
Object139	Brown5Object008	25	Brown5	0
Object149	Brown5Object009	24	Brown5	0
Object159	Brown5Object010	28	Brown5	0
Object001	Brown4Object001	11	Brown4	0
Object097	Brown4Object002	13	Brown4	0
Object107	Brown4Object003	14	Brown4	0
Object117	Brown4Object004	12	Brown4	0
Object127	Brown4Object005	18	Brown4	0
Object137	Brown4Object006	26	Brown4	0
Object147	Brown4Object007	24	Brown4	0
Object157	Brown4Object008	23	Brown4	0
Object167	Brown4Object009	28	Brown4	0
Object177	Brown4Object010	27	Brown4	0
Object045	Brown3Object001	15	Brown3	0
Object079	Brown3Object002	11	Brown3	0
Object080	Brown3Object003	14	Brown3	0
Object078	Brown3Object004	13	Brown3	0
Object083	Brown3Object005	25	Brown3	0
Object082	Brown3Object006	26	Brown3	0
Object086	Brown3Object007	27	Brown3	0
Object085	Brown3Object008	28	Brown3	0
Object084	Brown3Object009	23	Brown3	0
Object081	Brown3Object010	12	Brown3	0
Object042	Brown2Object001	15	Brown2	0
Object054	Brown2Object002	16	Brown2	0
Object047	Brown2Object003	17	Brown2	0
Object013	Brown2Object004	18	Brown2	0
Object087	Brown2Object005	22	Brown2	0
Object077	Brown2Object006	21	Brown2	0
Object058	Brown2Object007	25	Brown2	0
Object059	Brown2Object008	27	Brown2	0
Object055	Brown2Object009	24	Brown2	0
Object041	Brown2Object010	12	Brown2	0
Object268	Brown12Object001	11	Brown12	0
Object207	Brown12Object002	15	Brown12	0
Object252	Brown12Object003	16	Brown12	0
Object233	Brown12Object004	17	Brown12	0
Object248	Brown12Object005	18	Brown12	0
Object281	Brown12Object006	21	Brown12	0
Object287	Brown12Object007	25	Brown12	0
Object277	Brown12Object008	27	Brown12	0
Object292	Brown12Object009	23	Brown12	0
Object303	Brown12Object010	24	Brown12	0
Object205	Brown11Object001	15	Brown11	0
Object223	Brown11Object002	11	Brown11	0
Object181	Brown11Object003	18	Brown11	0
Object217	Brown11Object004	17	Brown11	0
Object193	Brown11Object005	12	Brown11	0
Object247	Brown11Object006	22	Brown11	0
Object231	Brown11Object007	25	Brown11	0
Object253	Brown11Object008	27	Brown11	0
Object237	Brown11Object009	24	Brown11	0
Object262	Brown11Object010	23	Brown11	0
Object173	Brown10Object001	11	Brown10	0
Object192	Brown10Object002	15	Brown10	0
Object156	Brown10Object003	16	Brown10	0
Object206	Brown10Object004	12	Brown10	0
Object187	Brown10Object005	17	Brown10	0
Object227	Brown10Object006	22	Brown10	0
Object242	Brown10Object007	26	Brown10	0
Object280	Brown10Object008	27	Brown10	0
Object265	Brown10Object009	24	Brown10	0
Object216	Brown10Object010	23	Brown10	0
Object002	Brown1Object008	26	Brown1	0
Object005	Brown1Object002	16	Brown1	0
Object006	Brown1Object001	11	Brown1	0
Object008	Brown1Object004	14	Brown1	0
Object010	Brown1Object003	17	Brown1	0
Object012	Brown1Object005	13	Brown1	0
Object014	Brown1Object007	21	Brown1	0
Object015	Brown1Object009	28	Brown1	0
Object016	Brown1Object006	22	Brown1	0
Object019	Brown1Object010	23	Brown1	0
